"filename", "language", "MS SQL", "Go", "comment", "blank", "total"
"s:\magang\proyekApotik\Backend\edit.sql", "MS SQL", 272, 0, 64, 25, 361
"s:\magang\proyekApotik\Backend\internal\class\class.go", "Go", 0, 166, 0, 18, 184
"s:\magang\proyekApotik\Backend\internal\controller\RoleController.go", "Go", 0, 1, 0, -1, 0
"s:\magang\proyekApotik\Backend\internal\controller\distribusiController.go", "Go", 0, 41, 0, 12, 53
"s:\magang\proyekApotik\Backend\internal\controller\karyawanController.go", "Go", 0, 4, -5, -2, -3
"s:\magang\proyekApotik\Backend\internal\controller\kategoriController.go", "Go", 0, 39, 0, 8, 47
"s:\magang\proyekApotik\Backend\internal\controller\kustomerController.go", "Go", 0, 24, 0, 3, 27
"s:\magang\proyekApotik\Backend\internal\controller\obatContoller.go", "Go", 0, 130, 4, 2, 136
"s:\magang\proyekApotik\Backend\internal\controller\pembelianpenerimaanController.go", "Go", 0, 141, 9, 38, 188
"s:\magang\proyekApotik\Backend\internal\controller\pointofsaleController.go", "Go", 0, 91, 0, 31, 122
"s:\magang\proyekApotik\Backend\internal\controller\privilegeController.go", "Go", 0, 1, 0, -1, 0
"s:\magang\proyekApotik\Backend\internal\controller\test.sql", "MS SQL", 47, 0, 7, 6, 60
"s:\magang\proyekApotik\Backend\internal\db\db.go", "Go", 0, -5, 10, 2, 7
"s:\magang\proyekApotik\Backend\internal\model\Depo.go", "Go", 0, -5, 0, 0, -5
"s:\magang\proyekApotik\Backend\internal\model\Distribusi.go", "Go", 0, 199, 4, 56, 259
"s:\magang\proyekApotik\Backend\internal\model\Karyawan.go", "Go", 0, 6, 0, 7, 13
"s:\magang\proyekApotik\Backend\internal\model\Kategori.go", "Go", 0, 51, -24, 11, 38
"s:\magang\proyekApotik\Backend\internal\model\Kustomer.go", "Go", 0, 39, 0, 11, 50
"s:\magang\proyekApotik\Backend\internal\model\Obat.go", "Go", 0, 8, 13, 5, 26
"s:\magang\proyekApotik\Backend\internal\model\PembelianPenerimaan.go", "Go", 0, 521, 3, 110, 634
"s:\magang\proyekApotik\Backend\internal\model\PointOfSale.go", "Go", 0, 383, 5, 97, 485
"s:\magang\proyekApotik\Backend\internal\model\Privilege.go", "Go", 0, 7, 0, 5, 12
"s:\magang\proyekApotik\Backend\internal\model\Role.go", "Go", 0, 7, 0, 4, 11
"s:\magang\proyekApotik\Backend\internal\model\Satuan.go", "Go", 0, -5, 0, 0, -5
"s:\magang\proyekApotik\Backend\main.go", "Go", 0, 6, 0, -1, 5
"s:\magang\proyekApotik\Backend\routes\routes.go", "Go", 0, 23, 0, 3, 26
"s:\magang\proyekApotik\Backend\test.sql", "MS SQL", 263, 0, 9, 74, 346
"Total", "-", 582, 1873, 99, 523, 3077
