"filename", "language", "Go Module File", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "MS SQL", "Markdown", "XML", "Svelte", "CSS", "Go", "HTML", "comment", "blank", "total"
"s:\magang\proyekApotik\Backend\edit.sql", "MS SQL", 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 64, 25, 361
"s:\magang\proyekApotik\Backend\go.mod", "Go Module File", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"s:\magang\proyekApotik\Backend\internal\auth\auth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 4, 17, 90
"s:\magang\proyekApotik\Backend\internal\class\class.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 33, 333
"s:\magang\proyekApotik\Backend\internal\controller\RoleController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 6, 28, 97
"s:\magang\proyekApotik\Backend\internal\controller\depoController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 7, 25
"s:\magang\proyekApotik\Backend\internal\controller\distribusiController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 12, 53
"s:\magang\proyekApotik\Backend\internal\controller\karyawanController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 8, 26, 157
"s:\magang\proyekApotik\Backend\internal\controller\kategoriController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 19, 97
"s:\magang\proyekApotik\Backend\internal\controller\kustomerController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 1, 24, 93
"s:\magang\proyekApotik\Backend\internal\controller\obatContoller.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 9, 37, 294
"s:\magang\proyekApotik\Backend\internal\controller\pembelianpenerimaanController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 9, 38, 188
"s:\magang\proyekApotik\Backend\internal\controller\pointofsaleController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 31, 122
"s:\magang\proyekApotik\Backend\internal\controller\privilegeController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 1, 26, 90
"s:\magang\proyekApotik\Backend\internal\controller\satuanController.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 7, 25
"s:\magang\proyekApotik\Backend\internal\controller\test.sql", "MS SQL", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 6, 60
"s:\magang\proyekApotik\Backend\internal\db\db.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 11, 12, 69
"s:\magang\proyekApotik\Backend\internal\middleware\middleware.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 8, 18, 99
"s:\magang\proyekApotik\Backend\internal\model\Depo.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 14, 53
"s:\magang\proyekApotik\Backend\internal\model\Distribusi.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 4, 56, 259
"s:\magang\proyekApotik\Backend\internal\model\Karyawan.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 591, 0, 49, 95, 735
"s:\magang\proyekApotik\Backend\internal\model\Kategori.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 43, 194
"s:\magang\proyekApotik\Backend\internal\model\Kustomer.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 45, 226
"s:\magang\proyekApotik\Backend\internal\model\Obat.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 0, 15, 61, 370
"s:\magang\proyekApotik\Backend\internal\model\PembelianPenerimaan.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 521, 0, 3, 110, 634
"s:\magang\proyekApotik\Backend\internal\model\PointOfSale.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 0, 5, 97, 485
"s:\magang\proyekApotik\Backend\internal\model\Privilege.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 2, 54, 258
"s:\magang\proyekApotik\Backend\internal\model\Role.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 2, 54, 258
"s:\magang\proyekApotik\Backend\internal\model\Satuan.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 14, 53
"s:\magang\proyekApotik\Backend\internal\seeder\seeder.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 2, 8, 57
"s:\magang\proyekApotik\Backend\main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 28, 21, 159
"s:\magang\proyekApotik\Backend\pkg\helper.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 6, 23
"s:\magang\proyekApotik\Backend\routes\routes.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 4, 22, 111
"s:\magang\proyekApotik\Backend\test.sql", "MS SQL", 0, 0, 0, 0, 0, 508, 0, 0, 0, 0, 0, 0, 20, 113, 641
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\.prettierrc", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 15, 39
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\package-lock.json", "JSON", 0, 4609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4610
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 12, 71
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\app.d.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 2, 16
