<2025-01-27 22:12:46>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 22:16:05>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 22:16:36>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 22:16:57>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 22:18:04>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 22:18:10>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 22:20:02>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 22:20:37>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 22:20:47>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 22:20:48>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 23:38:43>|| {REQUEST: uri: /api/users/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 23:38:43>|| {REQUEST: uri: /favicon.ico, status: 404, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36, Error:code=404, message=Not Found, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-01-27 23:39:00>|| {REQUEST: uri: /api/users/login, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
