<2025-02-07 11:29:15>|| {REQUEST: uri: /api/karyawan/1/2, status: 401, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:DELETE ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 13:44:34>|| {REQUEST: uri: /api/karyawan, status: 401, ip:::1, Host:localhost:2688, ContentLength:56, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 13:46:13>|| {REQUEST: uri: /api/karyawan, status: 404, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=404, message=Not Found, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 13:46:33>|| {REQUEST: uri: /api/karyawan, status: 404, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=404, message=Not Found, Latency:541.9µs, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 13:46:47>|| {REQUEST: uri: /api/karyawan, status: 404, ip:::1, Host:localhost:2688, ContentLength:, User-Agent:PostmanRuntime/7.43.0, Error:code=404, message=Not Found, Latency:539.4µs, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 13:54:07>|| {REQUEST: uri: /api/karyawan/create%20, status: 404, ip:::1, Host:localhost:2688, ContentLength:271, User-Agent:PostmanRuntime/7.43.0, Error:code=404, message=Not Found, Latency:568µs, method:POST ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 13:54:38>|| {REQUEST: uri: /api/karyawan/create%20, status: 404, ip:::1, Host:localhost:2688, ContentLength:271, User-Agent:PostmanRuntime/7.43.0, Error:code=404, message=Not Found, Latency:1.0833ms, method:POST ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 16:19:36>|| {REQUEST: uri: /api/role/, status: 401, ip:::1, Host:localhost:2688, ContentLength:56, User-Agent:PostmanRuntime/7.43.0, Error:code=401, message=Unauthorized, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 16:19:55>|| {REQUEST: uri: /api/role/, status: 404, ip:::1, Host:localhost:2688, ContentLength:56, User-Agent:PostmanRuntime/7.43.0, Error:code=404, message=Not Found, Latency:565.4µs, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 16:20:01>|| {REQUEST: uri: /api/role, status: 404, ip:::1, Host:localhost:2688, ContentLength:56, User-Agent:PostmanRuntime/7.43.0, Error:code=404, message=Not Found, Latency:0s, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
<2025-02-07 16:20:15>|| {REQUEST: uri: /api/role, status: 404, ip:::1, Host:localhost:2688, ContentLength:56, User-Agent:PostmanRuntime/7.43.0, Error:code=404, message=Not Found, Latency:557.7µs, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:0, custom-value: 42}
